EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
276,4.78E-190,8.64E-100,3.12E-184,8.30E-100,0.252719953,0,0.000441233,-12564.45665,0.00E+00,4.44E-16,0,1.29E-03,0.022684586,2.405222341,0.005567504,-1.031584728,0.398093756,6.303437252,-3.752475707,-2.797319679,-9.855020051,-10.08375344,-10.2005379
277,5.94E-191,3.77E-100,2.62E-184,1.05E-100,0.252713455,0,0.000436147,-12564.45665,0.00E+00,4.44E-16,0,1.29E-03,0.022681108,2.40518818,0.005567468,-1.031584908,0.398092429,6.303433868,-3.752485655,-2.797438461,-9.855020254,-10.08376289,-10.20355496
278,1.42E-195,2.10E-100,1.59E-184,8.13E-101,0.252713434,0,0.000428635,-12564.45665,0.00E+00,4.44E-16,0,1.29E-03,0.022664265,2.405188148,0.005567461,-1.031585024,0.398084754,6.303433858,-3.752490262,-2.797524325,-9.867981469,-10.08376461,-10.20836817
279,1.42E-195,8.61E-101,1.60E-185,2.19E-101,0.252713387,0,0.00042151,-12564.45665,0.00E+00,4.44E-16,0,1.29E-03,0.022660525,2.400906628,0.005567416,-1.031585071,0.398084635,6.303433789,-3.752490374,-2.797548253,-9.869819952,-10.08376816,-10.20837095
280,1.42E-195,1.42E-101,2.91E-187,4.87E-102,0.252707435,0,0.00042151,-12564.45665,0.00E+00,4.44E-16,0,1.29E-03,0.02266051,2.400892883,0.005567411,-1.031585106,0.398068087,6.303433326,-3.752491685,-2.797764667,-9.874394183,-10.08376818,-10.20839173
281,8.14E-196,4.07E-102,1.16E-187,3.84E-102,0.252707408,0,0.00042151,-12564.45665,0.00E+00,4.44E-16,0,1.29E-03,0.022659303,2.40089267,0.005566209,-1.031585157,0.398067974,6.303429398,-3.752524127,-2.799530956,-9.874394273,-10.08376878,-10.20921399
282,1.68E-196,3.75E-102,1.16E-187,1.47E-102,0.252707211,0,0.00042151,-12564.47006,0.00E+00,4.44E-16,0,1.29E-03,0.022647864,2.400892299,0.005566166,-1.031585163,0.398067842,6.303428032,-3.752526474,-2.799629701,-9.874395478,-10.08391278,-10.21043509
283,1.22E-199,2.89E-102,5.53E-189,3.15E-103,0.252658608,0,0.00042151,-12564.47006,0.00E+00,4.44E-16,0,1.29E-03,0.022645504,2.362642649,0.005566094,-1.031585163,0.398065892,6.303427566,-3.752526948,-2.803042818,-9.874395999,-10.08394213,-10.21128981
284,8.25E-200,1.21E-102,7.43E-193,3.03E-103,0.252658047,0,0.00042151,-12564.47146,0.00E+00,4.44E-16,0,1.29E-03,0.022633475,2.354242641,0.00556608,-1.031585174,0.398065815,6.303426139,-3.752537962,-2.803109215,-9.874396443,-10.08406096,-10.21437232
285,1.41E-200,1.35E-103,7.43E-193,9.36E-104,0.252656276,0,0.00037588,-12564.47146,0.00E+00,4.44E-16,0,1.27E-03,0.022623888,2.351626453,0.005566059,-1.031585349,0.398065663,6.303425901,-3.752538189,-2.803821592,-9.874482616,-10.0841375,-10.21437245
286,5.58E-201,4.69E-104,4.33E-193,6.09E-104,0.252623283,0,0.00037588,-12564.47147,0.00E+00,4.44E-16,0,1.27E-03,0.022622375,2.351626245,0.005566056,-1.031585402,0.398064955,6.303425901,-3.752549962,-2.803910336,-9.874483213,-10.08414668,-10.21462858
287,3.29E-201,2.35E-104,6.11E-194,3.35E-104,0.252621692,0,0.00037184,-12564.47147,0.00E+00,4.44E-16,0,1.26E-03,0.022621811,2.351626245,0.005562096,-1.031585599,0.398064906,6.303425712,-3.752549975,-2.808405318,-9.875702693,-10.08501669,-10.21462896
288,6.91E-202,4.38E-105,5.58E-195,5.74E-105,0.252621573,0,0.00037184,-12564.47147,0.00E+00,4.44E-16,0,1.26E-03,0.022619661,2.351590718,0.005555603,-1.031585624,0.398064828,6.303422449,-3.752564093,-2.80850255,-9.876590605,-10.08633781,-10.214652
289,3.48E-203,1.47E-105,5.51E-195,7.92E-106,0.252621487,0,0.000371525,-12564.47147,0.00E+00,4.44E-16,0,1.26E-03,0.022619102,2.351588226,0.005552711,-1.031585645,0.398064483,6.303419801,-3.752565088,-2.81063821,-9.876667062,-10.08717697,-10.22135787
290,2.07E-203,1.19E-105,3.50E-195,5.50E-106,0.252621285,0,0.000365705,-12564.47176,0.00E+00,4.44E-16,0,1.25E-03,0.022618613,2.278415516,0.00555266,-1.031585663,0.398064399,6.303416648,-3.752574202,-2.812219477,-9.876673639,-10.08717994,-10.22139455
291,2.07E-203,3.30E-106,2.52E-197,4.75E-106,0.252549423,0,0.000365705,-12564.47176,0.00E+00,4.44E-16,0,1.25E-03,0.0226082,2.278414867,0.00555263,-1.031585671,0.398063666,6.303416025,-3.752575525,-2.812846172,-9.876677532,-10.08718048,-10.22140205
292,1.44E-203,2.11E-106,2.52E-197,1.29E-106,0.252547883,0,0.000352729,-12564.47183,0.00E+00,4.44E-16,0,1.25E-03,0.022606383,2.266482708,0.005550906,-1.031585794,0.398061483,6.303415229,-3.752576626,-2.813538084,-9.876678005,-10.08718298,-10.22156597
293,2.97E-205,1.11E-106,4.17E-199,2.09E-107,0.252547805,0,0.000352729,-12564.47223,0.00E+00,4.44E-16,0,1.23E-03,0.022606376,2.265475535,0.005548294,-1.031586462,0.398060377,6.303414924,-3.752633569,-2.814204288,-9.876678122,-10.08719178,-10.22285896
294,2.97E-205,8.68E-107,4.17E-199,2.06E-107,0.252547763,0,0.000352729,-12564.47289,0.00E+00,4.44E-16,0,1.21E-03,0.022606066,2.162834855,0.00554828,-1.031586902,0.398060317,6.303414917,-3.753281147,-2.814992079,-9.879706818,-10.08719192,-10.22285969
295,2.25E-208,5.08E-107,1.05E-199,8.00E-108,0.25254704,0,0.000352729,-12564.47311,0.00E+00,4.44E-16,0,1.21E-03,0.022446249,2.153145116,0.005547875,-1.031586964,0.398059979,6.303414676,-3.753286263,-2.815777683,-9.879706831,-10.08720123,-10.22373725
296,2.25E-208,4.21E-108,7.43E-200,6.27E-109,0.252547028,0,0.000352729,-12564.47311,0.00E+00,4.44E-16,0,1.21E-03,0.022446112,2.153145115,0.005547132,-1.031590568,0.398058122,6.303413602,-3.753286459,-2.815910894,-9.879770771,-10.0872032,-10.22741457
297,5.80E-209,2.86E-108,1.48E-200,6.17E-109,0.252546843,0,0.000352729,-12564.47311,0.00E+00,4.44E-16,0,1.20E-03,0.022093541,2.153144758,0.005547105,-1.031591126,0.398057238,6.303413583,-3.753351524,-2.817006771,-9.880031547,-10.08720323,-10.22743118
